customer_number,fin_period,total_due,amt_current,amt_30_days,amt_60_days,amt_90_days,amt_120_days,amt_150_days,amt_180_days,amt_210_days,amt_240_days,amt_270_days,amt_300_days,amt_330_days,amt_360_days
AACJ01,201810,456.0,456.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AACJ01,201811,456.0,0.0,456.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AACJ01,201812,456.0,0.0,0.0,456.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AACJ01,201901,456.0,0.0,0.0,0.0,456.0,0.0,0.0,0,0,0,0,0,0,0
AACJ01,201902,463.32,7.32,0.0,0.0,0.0,456.0,0.0,0,0,0,0,0,0,0
AACJ01,201903,470.64,7.32,7.32,0.0,0.0,0.0,456.0,0,0,0,0,0,0,0
AACJ01,201904,477.96,7.32,7.32,7.32,0.0,0.0,0.0,456,0,0,0,0,0,0
AACJ01,201905,485.28,7.32,7.32,7.32,7.32,0.0,0.0,0,456,0,0,0,0,0
AACJ01,201906,492.71,7.43,7.32,7.32,7.32,7.31,0.0,0,0,456,0,0,0,0
AACJC2,201810,21291.0,21291.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AACJC2,201811,21291.0,0.0,21291.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AACJC2,201812,21291.0,0.0,0.0,21291.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AACJC2,201901,21291.0,0.0,0.0,0.0,21291.0,0.0,0.0,0,0,0,0,0,0,0
AACJC2,201902,21291.0,0.0,0.0,0.0,0.0,21291.0,0.0,0,0,0,0,0,0,0
AACJC2,201903,28656.0,7365.0,0.0,0.0,0.0,0.0,21291.0,0,0,0,0,0,0,0
AADPRG,201803,5054.3,5054.3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AADPRG,201804,37123.25,32068.95,5054.3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AADPRG,201805,91721.16,54597.91,32068.95,5054.3,0.0,0.0,0.0,0,0,0,0,0,0,0
AADPRG,201806,116287.11,24565.95,54597.91,32068.95,5054.3,0.0,0.0,0,0,0,0,0,0,0
AADPRG,201807,301682.81,185395.7,24565.95,54597.91,32068.95,5054.3,0.0,0,0,0,0,0,0,0
AADPRG,201808,337820.06,36137.25,185395.7,24565.95,54597.91,32068.95,5054.3,0,0,0,0,0,0,0
AADPRG,201809,352206.93,14386.87,36137.25,185395.7,24565.95,54597.91,32068.95,5054,0,0,0,0,0,0
AADPRG,201811,41568.91,41568.91,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AADPRG,201812,61346.91,19778.0,41568.91,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AADPRG,201901,70112.79,8765.88,19778.0,41568.91,0.0,0.0,0.0,0,0,0,0,0,0,0
AADPRG,201902,130723.42,60610.63,8765.88,19778.0,41568.91,0.0,0.0,0,0,0,0,0,0,0
AADPRG,201903,136772.38,6048.96,60610.63,8765.88,19778.0,41568.91,0.0,0,0,0,0,0,0,0
AADPRG,201904,148286.06,11513.68,6048.96,60610.63,8765.88,19778.0,41568.91,0,0,0,0,0,0,0
AADPRG,201905,173722.77,23623.55,13326.84,6048.96,60610.63,8765.87,19778.0,41568,0,0,0,0,0,0
AADPRG,201906,186091.71,12368.94,23623.55,13326.84,6048.96,60610.63,8765.87,19778,41568,0,0,0,0,0
AADPRG,201907,196656.09,10564.38,12368.94,23623.55,13326.84,6048.96,60610.63,8765,19778,41568,0,0,0,0
AADPRG,201908,230213.28,33557.19,10564.38,12368.94,23623.55,13326.84,6048.96,60610,8765,19778,41568,0,0,0
AADPRG,201909,241509.28,11296.0,33557.19,10564.38,12368.94,23623.55,13326.84,6048,60610,8765,19778,41568,0,0
AADPRG,201910,290959.28,19454.25,11296.0,63552.94,10564.38,12368.94,23623.55,13326,6048,60610,8765,19778,41568,0
AADPRG,201911,290959.28,0.0,19454.25,11296.0,63552.94,10564.38,12368.94,23623,13326,6048,60610,8765,19778,41568
AADPRG,201912,363911.06,72951.78,0.0,19454.25,11296.0,63552.94,10564.38,12368,23623,13326,6048,60610,8765,61346
AADPRG,202001,363911.06,0.0,72951.78,0.0,19454.25,11296.0,63552.94,10564,12368,23623,13326,6048,60610,70112
AADPRO,201803,551068.91,18708.35,5715.31,15928.05,45737.8,464979.4,0.0,0,0,0,0,0,0,0
AADPRO,201804,551068.91,0.0,18708.35,5715.31,15928.05,45737.8,464979.4,0,0,0,0,0,0,0
AADPRO,201805,553817.91,2749.0,0.0,18708.35,5715.31,15928.05,45737.8,464979,0,0,0,0,0,0
AADPRO,201806,580447.17,26629.26,2749.0,0.0,18708.35,5715.31,15928.05,45737,464979,0,0,0,0,0
AADPRO,201807,630401.17,49954.0,26629.26,2749.0,0.0,18708.35,5715.31,15928,45737,464979,0,0,0,0
AADPRO,201808,610376.17,0.0,49954.0,26629.26,2749.0,0.0,18708.35,5715,15928,45737,444954,0,0,0
AADPRO,201809,620137.53,9761.36,0.0,49954.0,26629.26,2749.0,0.0,18708,5715,15928,45737,444954,0,0
AADPRO,201810,670333.27,50195.74,9761.36,0.0,49954.0,26629.26,2749.0,0,18708,5715,15928,45737,444954,0
AADPRO,201811,567153.27,0.0,50195.74,9761.36,0.0,0.0,26629.26,2749,0,18708,5715,15928,45737,391728
AADPRO,201812,574373.27,7220.0,0.0,50195.74,9761.36,0.0,0.0,26629,2749,0,18708,5715,15928,437466
AADPRO,201901,583921.27,9548.0,7220.0,0.0,50195.74,9761.36,0.0,0,26629,2749,0,18708,5715,453394
AADPRO,201902,571981.27,0.0,9548.0,7220.0,0.0,38255.74,9761.36,0,0,26629,2749,0,18708,459109
AADPRO,201903,564807.27,0.0,0.0,9548.0,7220.0,0.0,38255.74,9761,0,0,26629,2749,0,470643
AADPRO,201904,567552.27,2745.0,0.0,0.0,9548.0,7220.0,0.0,38255,9761,0,0,26629,2749,470643
AADPRO,201905,567782.52,230.25,2745.0,0.0,0.0,9548.0,7220.0,0,38255,9761,0,0,26629,473392
AADPRO,201906,597111.27,29328.75,230.25,2745.0,0.0,0.0,9548.0,7220,0,38255,9761,0,0,500022
AADPRO,201907,573323.27,0.0,29328.75,230.25,2745.0,0.0,0.0,9548,7220,0,38255,9761,0,476234
AADPRO,201908,541393.15,0.0,0.0,29328.75,230.25,0.0,0.0,0,9548,7220,0,38255,9761,447049
AADPRO,201909,551052.0,9658.85,0.0,0.0,29328.75,230.25,0.0,0,0,9548,7220,0,38255,456810
AADPRO,201910,544710.4,0.0,9658.85,0.0,0.0,22987.15,230.25,0,0,0,9548,7220,0,495066
AADPRO,201911,534041.55,0.0,0.0,9658.85,0.0,0.0,22987.15,230,0,0,0,9548,7220,484397
AADPRO,201912,536816.55,0.0,0.0,0.0,9658.85,2775.0,0.0,22987,230,0,0,0,9548,491617
AADPRO,202001,551830.55,15014.0,0.0,0.0,0.0,9658.85,2775.0,0,22987,230,0,0,0,501165
AAMI01,201803,1000.92,0.0,0.0,0.0,0.0,1000.92,0.0,0,0,0,0,0,0,0
AAMI01,201804,500.92,0.0,0.0,0.0,0.0,0.0,500.92,0,0,0,0,0,0,0
AAMI01,201805,923.44,923.44,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AAMI01,201806,923.44,0.0,923.44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
AAMI01,201807,923.44,0.0,0.0,923.44,0.0,0.0,0.0,0,0,0,0,0,0,0
