supplier_code,purch_doc_no,purch_date
008,PC000011,1526256000000000000
008,PC000012,1526256000000000000
008,PC400001,1526256000000000000
006,PN000427,1520467200000000000
006,PN000428,1520467200000000000
006,PN000429,1520467200000000000
009,PN000430,1532995200000000000
ADAG01,PN000431,1532995200000000000
010,PN000432,1534723200000000000
010,PN000433,1534723200000000000
010,PN000434,1534723200000000000
010,PN000435,1534723200000000000
010,PN000436,1534723200000000000
010,PN000437,1534723200000000000
PG001,PN000438,1533081600000000000
007,PN100001,1522713600000000000
008,PN400001,1525392000000000000
008,PN400002,1525737600000000000
008,PN400003,1526256000000000000
011,PN400004,1541116800000000000
011,PN400005,1541116800000000000
011,PN400006,1541116800000000000
011,PN400007,1541116800000000000
011,PN400008,1541116800000000000
011,PN400009,1541116800000000000
007,PN500006,1556150400000000000
007,PN500007,1556150400000000000
006,PN500012,1565827200000000000
005,PN500015,1543708800000000000
005,PN500016,1543708800000000000
005,PN500017,1543708800000000000
012,PN500018,1514937600000000000
011,PN700001,1572566400000000000
011,PN700002,1572566400000000000
011,PN700003,1572566400000000000
011,PN700004,1572566400000000000
011,PN700005,1572566400000000000
011,PN700006,1572566400000000000
011,PN700007,1572566400000000000
011,PN700008,1572566400000000000
011,PN700009,1572566400000000000
011,PN700010,1572566400000000000
011,PN700011,1572566400000000000
009,PN900012,1530489600000000000
009,PN900013,1530489600000000000
009,PN900014,1530489600000000000
009,PN900015,1530489600000000000
009,PN900016,1530489600000000000
009,PN900017,1530489600000000000
009,PN900018,1530489600000000000
009,PN900019,1530489600000000000
009,PN900020,1530489600000000000
009,PN900021,1530489600000000000
009,PN900022,1530489600000000000
009,PN900023,1530489600000000000
009,PN900024,1530489600000000000
009,PN900025,1530489600000000000
009,PN900026,1530489600000000000
009,PN900027,1530489600000000000
009,PN900028,1530489600000000000
009,PN900029,1530489600000000000
009,PN900030,1530489600000000000
009,PN900031,1531353600000000000
014,PN900033,1551225600000000000
014,PN900034,1551225600000000000
014,PN900035,1551225600000000000
014,PN900036,1551225600000000000
014,PN900037,1551225600000000000
014,PN900038,1551225600000000000
014,PN900039,1551225600000000000
014,PN900040,1551225600000000000
