purch_doc_no,inventory_code,quantity,unit_cost_price,total_line_cost
PN000427,8176MCOL568X,10,179.23,1792.3
PN000427,8176MCOL581,10,179.23,1792.3
PN000427,8180MCOL531X,10,163.7,1637.0
PN000427,8180MCOL568,10,163.7,1637.0
PN000427,8180MCOL568X,3,172.57,517.71
PN000427,8180MCOL579,10,172.57,1725.7
PN000427,8182MCOL531,10,163.7,1637.0
PN000427,8182MCOL627,10,163.7,1637.0
PN000427,8183MCOL531,10,163.7,1637.0
PN000427,8183MCOL627,10,163.7,1637.0
PN000427,8187MCOL531,10,163.7,1637.0
PN000427,8187MCOL627,10,163.7,1637.0
PN000427,8188MCOL531,10,163.7,1637.0
PN000427,8188MCOL627,10,163.7,1637.0
PN000427,8189MCOL531,10,163.7,1637.0
PN000427,8189MCOL531X,10,172.57,1725.7
PN000427,8189MCOL568,10,163.7,1637.0
PN000427,8189MCOL568X,10,172.57,1725.7
PN000427,8189MCOLK05,10,163.7,1637.0
PN000427,8190COL531X,4,172.57,690.28
PN000427,8190MCOL531,10,163.7,1637.0
PN000427,8190MCOL568,10,163.7,1637.0
PN000427,8190MCOL568X,10,172.57,1725.7
PN000427,8190MCOLK05,10,163.7,1637.0
PN000427,8193COL530,10,188.11,1881.1
PN000427,8193COL530X,10,188.11,1881.1
PN000427,8193COL581,10,188.11,1881.1
PN000427,8193COL581X,10,196.98,1969.8
PN000427,8193COL581Y,10,196.98,1969.8
PN000427,8193COLC07,10,196.98,1969.8
PN000427,8195COL530,10,196.98,1969.8
PN000427,8195COL530X,7,196.98,1378.86
PN000427,8195COL581,10,188.11,1881.1
PN000427,8195COL581X,10,188.11,1881.1
PN000427,8195COL581Y,10,188.11,1881.1
PN000427,8195COLC07,10,196.98,1969.8
PN000427,8597MCOL703,10,141.5,1415.0
PN000427,8598MCOLC33,10,141.5,1415.0
PN000427,8603MCOLW44,10,130.41,1304.1
PN000427,8604MCOLW44,10,130.41,1304.1
PN000427,884COL530,20,154.82,3096.4
PN000427,884COL531,10,154.82,1548.2
PN000427,885COL530,10,154.82,1548.2
PN000427,885COL531,10,154.82,1548.2
PN000427,913MCOL579,10,162.6,1626.0
PN000427,913MCOL579X,10,152.6,1526.0
PN000427,913MCOL579Y,10,152.6,1526.0
PN000427,915MCOL579,10,174.79,1747.9
PN000427,915MCOL579T,10,174.79,1747.9
PN000427,915MCOL579X,10,174.79,1747.9
PN000427,921MCOL568,10,163.7,1637.0
PN000427,921MCOL579,10,163.7,1637.0
PN000427,922MCOL568,10,163.7,1637.0
PN000427,922MCOL568X,10,163.7,1637.0
PN000427,922MCOL579,10,163.7,1637.0
PN000427,922MCOL579X,10,163.7,1637.0
PN000427,922MCOL579Y,10,163.7,1637.0
PN000427,923MCOL579,10,159.26,1592.6
PN000427,923MCOL579X,10,159.26,1592.6
PN000427,923MCOL579Y,10,159.26,1592.6
PN000427,923MCOL627,10,159.26,1592.6
PN000427,923MCOL627X,10,159.26,1592.6
PN000427,925MCOL579,10,159.26,1592.6
PN000427,925MCOL579X,10,159.26,1592.6
PN000427,925MCOL579Y,10,159.26,1592.6
PN000427,925MCOL627,10,159.26,1592.6
PN000427,925MCOL627X,10,159.26,1592.6
PN000427,B2000COLT17,50,99.81,4990.5
PN000427,B2000COLT69,47,99.81,4691.07
PN000427,B2000COLU28,43,99.81,4291.83
PN000427,B2001COLLT17,50,99.81,4990.5
PN000427,B2001COLT69,50,99.81,4990.5
PN000427,B2001COLU28,34,99.81,3393.54
PN000427,B2002COLT17,50,99.81,4990.5
PN000427,B2002COLT69,50,99.81,4990.5
PN000427,B2002COLU28,44,99.81,4391.64
PN000427,B2003COLT17,50,99.81,4990.5
PN000427,B2003COLT69,50,99.81,4990.5
PN000427,B2003COLU28,49,99.81,4890.69
PN000427,B2004COLT17,50,99.81,4990.5
PN000427,B2004COLT69,50,99.81,4990.5
PN000427,B2004COLU28,50,99.81,4990.5
PN000427,B2005COLT17,50,99.81,4990.5
PN000427,B2005COLT69,47,99.81,4691.07
PN000427,B2005COLU28,44,99.81,4391.64
PN000427,B2006COLT17,50,99.81,4990.5
PN000427,B2006COLT69,37,99.81,3692.97
PN000427,B2006COLU28,45,99.81,4491.45
