customer_number,parameter
AACJ01,Closed
AACJC1,Closed
AACJC2,Promotion
AAVN01,Closed
ABLA01,Closed
ABLE01,Closed
ACHBC1,Consignment
ACHBC1,Promotional Stand
ACHVC1,Consignment
ACHVOC,Consignment
ACLS02,Trading Account
ACLSC1,Consignment
ACLSOC,Closed
ADIMOC,Consignment
AFRM03,Closed
AFRMOC,Consignment
AFRN01,Closed
AFRN02,Closed
AFRN05,Trading Account
AFRNOC,Consignment
AGRNC1,Consignment
AGRY01,Trading Account
AGRYCO,Consignment
AGUROC,Closed
AGUROC,Consignment
AICR03,Closed
AICR09,Closed
AICRC1,Consignment
AICROC,Consignment
AKER02,Closed
AKHN07,Trading Account
AKHNC1,Consignment
AKHNOC,Consignment
AMARC1,Consignment
AMI02,Trading Account
AMIC1,Consignment
AMIOC,Closed
AMIOC,Consignment
AMIOOC,Consignment
AMKNOC,Consignment
AREL03,Closed
ARELCO,Consignment
ARELWM,Promotion
ASEPOC,Consignment
ASHN01,Trading Account
ASHNC1,Consignment
ASHNC1,Promotional Stand
ASHNOC,Consignment
ASMROC,Consignment
ASTL01,Trading Account
ASTLC1,Consignment
ASTLOC,Closed
ASTN01,Promotional Stand
ASTN07,Closed
ASTNC1,Promotional Stand
ASTNC2,Consignment
ASTNC2,Promotional Stand
ASTNC3,Promotion
ASTNOC,Closed
ATHT01,Closed
ATYL02,Closed
ATYLC1,Consignment
ATYLC1,Promotional Stand
BABR02,Closed
BGAO01,Closed
BHAEOC,Promotional Stand
BJMOC,Consignment
BJOI01,Closed
BKOROC,Consignment
BROA01,Trading Account
BROA02,Closed
BROAC1,Consignment
BROAOC,Consignment
BURA01,Trading Account
BURAOC,Consignment
CADOC1,Promotional Stand
CADOOC,Consignment
CADOOC,Promotional Stand
CBAH01,Closed
CBAH02,Closed
CBUH01,Trading Account
CBUH02,Trading Account
CBUH03,Closed
CBUH2C,Closed
CBUH3C,Closed
CBUHC1,Consignment
CBUHC2,Consignment
