inventory_code,gender,material,style,colour,branding,qual_probs
001COL704,female,plastic,classic,,,
001COL722,female,plastic,classic,,,
001COLV67,female,plastic,classic,,,
003COL700,female,plastic,classic,,,
003COL704,female,plastic,classic,,,
003COL722,female,plastic,classic,,,
003COL955,female,plastic,classic,,,
004COL700,female,plastic,classic,,,
006COL700,female,plastic,classic,,,
006COL722,female,plastic,classic,,,
006COLV67,female,plastic,classic,,,
007COL300X,female,plastic,classic,,,
007COL722,female,plastic,classic,,,
008COL579,female,plastic,classic,,,
008COL700,female,plastic,classic,,,
009COL300,female,plastic,classic,,,
009COL700,female,plastic,classic,,,
009COL722,female,plastic,classic,,,
009COL955,female,plastic,classic,,,
010COL300Y,female,plastic,classic,,,
010COL579G,female,plastic,classic,,,
010COL700,female,plastic,classic,,,
011COL700,female,plastic,classic,,,
011COLR72,female,plastic,classic,,,
012COL200,female,plastic,classic,,,
012COL568,female,plastic,classic,,,
012COL722,female,plastic,classic,,,
013COLV23,female,plastic,classic,,,
014COL722,female,plastic,classic,,,
014COLV21,female,plastic,classic,,,
015COL700,female,plastic,classic,,,
015COL722,female,plastic,classic,,,
015COLV67,female,plastic,classic,,,
016COL700,female,plastic,classic,,,
016COL722,female,plastic,classic,,,
016COLV64,female,plastic,classic,,,
016COLV67,female,plastic,classic,,,
017COL700,female,plastic,classic,,,
017COL722,female,plastic,classic,,,
018COL700/51,female,plastic,classic,,,
018COL704/49,female,plastic,classic,,,
018COL722/51,female,plastic,classic,,,
019COL722/52,female,plastic,classic,,,
023COLU30,female,plastic,classic,,,
023COLZ42,female,plastic,classic,,,
023COLZ73,female,plastic,classic,,,
024COL00T,female,plastic,classic,,,
024COL300T,female,plastic,classic,,,
024COL579,female,plastic,classic,,,
025COLT21,female,plastic,classic,,,
026COL704,female,plastic,classic,,,
027COL700,female,plastic,classic,,,
027COL704,female,plastic,classic,,,
027COLZ48,female,plastic,,,,
028COLT05,female,plastic,,,,
028COLV71,female,plastic,,,,
028COLW60,female,plastic,,,,
031COL700,female,plastic,,,,
032COLT60,female,plastic,,,,
032COLT62,female,plastic,,,,
038COLJ55/50,female,plastic,,,,
038COLJ56/50,female,plastic,,,,
038COLW19/50,female,plastic,,,,
038COLW20/50,female,plastic,,,,
038COLW28/50,female,plastic,,,,
039COLJ55/51,female,plastic,,,,
039COLJ57/51,female,plastic,,,,
040COLJ56/51,female,plastic,,,,
040COLW20/51,female,plastic,,,,
041COLJ55/50,female,plastic,,,,
041COLJ58/50,female,plastic,,,,
041COLJ59/50,female,plastic,,,,
042COL732S/51,female,plastic,,,,
043COL700/49,female,plastic,,,,
043COL736S/51,female,plastic,,,,
044COL722,female,plastic,,,,
044COLB19,female,plastic,,,,
045COL700,female,plastic,,,,
045COL722,female,plastic,,,,
047COLB39,female,plastic,,,,
047COLB40,female,plastic,,,,
047COLB41,female,plastic,,,,
049COL700,female,plastic,,,,
049COL722,female,plastic,,,,
051COLB57,female,plastic,,,,
051COLB58,female,plastic,,,,
052COLB01,female,plastic,,,,
052COLB02,female,plastic,,,,
052COLB03,female,plastic,,,,
052COLB44,female,plastic,,,,
052COLJ96,female,plastic,,,,
053COLB39/52,female,plastic,,,,
054COLB38/51,female,plastic,,,,
055COL700/51,female,plastic,,,,
056COL722/52,female,plastic,,,,
058COL700,female,plastic,,,,
058COLD78,female,plastic,,,,
058COLG47,female,plastic,,,,
059COLB99,female,plastic,,,,
059COLG67,female,plastic,,,,
060COL880,female,plastic,,,,
060COLB99,female,plastic,,,,
060COLG44,female,plastic,,,,
062COL700,female,plastic,,,,
062COLD67,female,plastic,,,,
1000,female,plastic,,,,
1226 COL 5700,female,plastic,,,,
1226 COL 703,female,plastic,,,,
1226 COL 716,female,plastic,,,,
1226 COL 9724,female,plastic,,,,
1227 COL 5700,female,plastic,,,,
1227 COL 703,female,plastic,,,,
1227 COL 716,female,plastic,,,,
1227 COL 9724,female,plastic,,,,
1230COL801/48,female,plastic,,,,
1231COL700,female,plastic,,,,
1231COL740,female,plastic,,,,
1233COL700,female,plastic,,,,
1233COL740,female,plastic,,,,
1235COL740,,plastic,,,,
1235COL740/47,,plastic,,,,
1235COL880,,plastic,,,,
1236 COL 880,,plastic,,,,
1239COL710/50,,plastic,,,,
124 COL 9967,,plastic,,,,
1240COL710/51,,plastic,,,,
1243COL801,,plastic,,,,
1244COL801,,plastic,,,,
1244COL880,,plastic,,,,
1245COL700,,plastic,,,,
1246COL724,,plastic,,,,
1247COL724,,plastic,,,,
1254COL700/48,,plastic,,,,
1254COL884/48,,plastic,,,,
1254COL900/50,,plastic,,,,
1255COL774/47,,plastic,,,,
1256COL700/48,,plastic,,,,
1257COL884,,plastic,,,,
1262COL700,,plastic,,,,
1262COL722,,plastic,,,,
1263COL722,,plastic,,,,
1263COL958,,plastic,,,,
1264COL722,,plastic,,,,
1264COL958,,plastic,,,,
1265COL700,,plastic,,,,
1266COLZ83,,plastic,,,,
1266COLZ86,,plastic,,,,
1266COLZ88,,plastic,,,,
1267COLU28,,plastic,,,,
1267COLZ83,,plastic,,,,
1268COLU28,,plastic,,,,
1268COLZ83,,plastic,,,,
127 COL 881,,plastic,,,,
127 COL 9967,,plastic,,,,
1270COL700/51,,plastic,,,,
1272COLV19/48,,plastic,,,,
1280COLV87,,plastic,,,,
1280COLZ42,unisex,plastic,classic,classic,medium,no problem
1280COLZ88,unisex,plastic,classic,classic,medium,no problem
1281COLU28,unisex,plastic,classic,classic,medium,no problem
1281COLV87,unisex,plastic,classic,classic,medium,no problem
1281COLZ88,unisex,plastic,classic,classic,medium,no problem
1284COLU20,unisex,plastic,classic,classic,medium,no problem
1284COLV88,unisex,plastic,classic,classic,medium,no problem
1284COLZ77,unisex,combination,classic,classic,discreet,no problem
1285COLV88,unisex,combination,classic,classic,discreet,no problem
1285COLV94,unisex,combination,classic,classic,discreet,no problem
1286MCOL200,unisex,combination,classic,classic,discreet,no problem
1286MCOL700,unisex,combination,classic,classic,discreet,no problem
1286MCOL705S,unisex,plastic,classic,classic,discreet,no problem
