ccat_code,ccat_desc
0,Unknown
1,House accounts
10,No
11,stock movemnt shipments/backup
12,samples
13,sale goods
14,Johannesburg CBDl
15,no
16,Pretoria East
17,no
18,Pietersburg / Potgietersrus
19,Nelspruit / Tzaneen
2,Pretoria Central
20,bad debts
21,CLOSED
22,no
23,no
24,no
25,Ermelo Pietretief
26,no
27,Rustenburg Brits
28,Botswana trip excl Exports
29,Exports incl Botswana
3,Speciality stores
30,Gauteng North - Sandton
31,Gauteng East
32,G North-N/ Randburg/Rivonia
33,Pretoria
34,N- prov. Witbank Midd burg
35,no
36,Gaut.N-EastgateNorwoodMidr
37,Free state
38,no
39,E Cape
4,Pretoria North/South /West
40,W cape/CT
41,KZN/DBN
42,Midlands
43,Soweto Lenasia
44,?
45,Vaal Triangle
46,Krugersdorp Suncity
47,Potch KlerksD Kuruman
48,?
49,kwz natal/DBN Deon
5,Consignment
6,Advertising Appro
7,Departmentstore
8,No
9,No
