inventory_code,prodcat_code,last_cost,stock_ind
001COL704,32,203,Yes
001COL722,32,203,Yes
001COLV67,32,203,Yes
003COL700,49,203,Yes
003COL704,49,203,Yes
003COL722,49,203,Yes
003COL955,49,203,Yes
004COL300X,52,428,Yes
004COL700,49,465,Yes
005COL300X,52,586,Yes
005COL700,49,581,Yes
006COL700,49,166,Yes
006COL722,49,166,Yes
006COLV67,49,166,Yes
007COL300X,52,489,Yes
007COL700,49,153,Yes
007COL722,20,153,Yes
007COLV67,49,153,Yes
008COL579,52,511,Yes
008COL700,49,153,Yes
008COL722,49,153,Yes
008COLV67,49,153,Yes
009COL300,52,489,Yes
009COL700,49,133,Yes
009COL722,49,133,Yes
009COL954,49,133,Yes
009COL955,49,133,Yes
010COL300Y,52,511,Yes
010COL579G,52,511,Yes
010COL700,49,133,Yes
010COL722,49,133,Yes
010COL955,49,133,Yes
011COL700,49,133,Yes
011COL722,49,133,Yes
011COLR72,52,511,Yes
012COL200,49,266,Yes
012COL568,49,266,Yes
012COL700,49,266,Yes
012COL722,49,266,Yes
013COL200,49,266,Yes
013COL300Y,52,423,Yes
013COL700,49,266,Yes
013COL722,49,266,Yes
013COLV23,49,266,Yes
014COL200,49,266,Yes
014COL700,49,266,Yes
014COL722,49,266,Yes
014COLV21,49,266,Yes
015COL700,49,153,Yes
015COL722,49,153,Yes
015COLT31,49,153,Yes
015COLV67,49,153,Yes
016COL700,49,133,Yes
016COL722,49,133,Yes
016COLV64,49,133,Yes
016COLV67,49,133,Yes
017COL700,49,153,Yes
017COL722,49,153,Yes
018COL700/51,99,147,Yes
018COL704/49,23,147,Yes
018COL722/51,99,147,Yes
019COL722/52,99,147,Yes
021COL700/52,99,153,Yes
023COLU30,20,190,Yes
023COLZ42,20,190,Yes
023COLZ73,20,190,Yes
024COL00T,33,0,Yes
024COL300T,52,428,Yes
024COL579,52,428,Yes
025COLT21,32,181,Yes
026COL700,32,174,Yes
026COL704,32,174,Yes
026COL958,32,174,Yes
027COL700,32,174,Yes
027COL704,32,174,Yes
027COL958,32,174,Yes
027COLZ48,32,174,Yes
028COLT05,32,174,Yes
028COLV71,32,174,Yes
028COLW60,32,174,Yes
029COL700,32,174,Yes
029COL700Y,32,132,Yes
029COLV69,32,174,Yes
030COL893,32,174,Yes
030COL998,32,174,Yes
031COL700,20,174,Yes
032COLT60,32,174,Yes
032COLT62,32,174,Yes
035COL704,20,181,Yes
035COLU38,49,181,Yes
036COL700,49,380,Yes
038COLJ55/50,23,164,Yes
038COLJ56/50,23,164,Yes
038COLW19/50,23,167,Yes
038COLW20/50,99,163,Yes
038COLW28/50,23,167,Yes
039COLJ55/51,99,167,Yes
039COLJ57/51,23,167,Yes
040COLJ56/51,23,167,Yes
040COLW20/51,23,164,Yes
041COLJ55/50,23,167,Yes
041COLJ58/50,23,167,Yes
041COLJ59/50,23,167,Yes
042COL732S/51,99,180,Yes
043COL700/49,23,183,Yes
043COL736S/51,99,183,Yes
044COL722,32,337,Yes
044COLB19,32,337,Yes
045COL700,32,436,Yes
