rep_code,rep_desc,comm_method,commission
0,Unknown,Unknown,0.0
01,HEAD OFFICE,Sales,0.0
010,BA ALLISON,Sales,0.5
010C,BA CONSIGNMENT SALES ACC,Sales,0.5
01AME,01 CREDIT CARD,Sales,0.5
01BJ,CAT CUSTOMER ONLY -ex BJ,Sales,0.5
01BM,CAT CUSTOMER ONLY ex BM,Sales,0.5
01C,CM,Sales,0.5
01CA2,CAT CUSTOMER  ONLY- ex R,Sales,0.5
01CAT,CAT CUSTOMERS ONLY- ex RL,Sales,0.5
01CHE,CH,Sales,0.5
01CM,Faulty code - do not use,Gross Profit,0.5
01CRE,01 CREDIT CARD,Sales,0.5
01DIS,DISC.  FOR WIFES/FRIENDS,Sales,0.5
01EDN,EM,Sales,0.5
01EXP,EXPORTS,Gross Profit,0.5
01GM,HEAD OFFICE do not use,Sales,0.5
01JUL,JU,Sales,0.5
01LC,LL Consignm,Sales,0.5
01LVD,LL,Sales,0.5
01N,01 N,Sales,0.5
01REP,Repairs,Gross Profit,0.5
01S01,SALE HEAD OFFICE,Sales,0.5
01S02,SALE R,Sales,0.5
01S03,SALE BJ,Sales,0.5
01S04,SALE BM,Sales,0.5
01S05,SALE RL,Sales,0.5
01S06,SALE DA,Sales,0.5
01S07,LA SALE GOODS,Sales,0.5
01SCG,SALE CH,Sales,0.5
01SJM,SALE JU,Sales,0.5
01SMC,SALE EM,Sales,0.5
01STU,HEAD OFFICE'S CUSTOMER DEPT STORE,Sales,0.5
01TOP,Head Office-Top Ten Dept stores,Sales,0.5
01VP,VP,Sales,0.5
01WHO,WHOLESALERS,Sales,0.5
02,R,Sales,0.5
02C,R CONSIGNMENT SALES ACC,Sales,0.5
02CHE,R'S CUSTOMER - CH'S SALE,Sales,0.5
02GAR,DR,Sales,0.5
02JAS,do not use,Sales,0.5
02JUL,R'S CUSTOMER - JU'S SALE,Sales,0.5
02MYR,R'S CUTOMER -EM'S SALE,Sales,0.5
02RO*,R  discount customer,Sales,0.5
02ROS,R's customer - RO's sale,Sales,0.5
03,BJ,Sales,0.5
03BJ*,BJ discount customer,Sales,0.5
03C,BJ CONSIGNMENTS,Sales,0.5
03CHE,BJ'S CUSTOMER - CH'S SALE,Sales,0.5
03GAR,do not use,Sales,0.5
03JAS,do not use,Sales,0.5
03JUL,BJ'S CUSTOMER - JU'S SALE,Sales,0.5
03MYR,BJ'S CUSTOMER- EM'S SALE,Sales,0.5
03PRO,BJ'S CUSTOMER- PROBLEM ACC,Sales,0.5
03SGW,BJ Exhibition,Sales,0.5
04,BM,Sales,0.5
04C,BM CONSIGNMENT SALES ACC,Sales,0.5
04CHE,BM'S CUSTOMER - CH'S SAL,Sales,0.5
04GAR,BM FREE STATE + LESOTHO,Sales,0.5
04JAS,GR,Sales,0.5
04JUL,BM'S CUSTOMER - JU'S SALE,Sales,0.5
04MA*,BM discount customer,Sales,0.5
04MYR,BM'S CUSTOMER-EM'S SALE,Sales,0.5
05,RL,Sales,0.5
05C,RL CONSIGNMENT SALES ACC,Sales,0.5
05CHE,RL'S CUSTOMER - CH SALE,Sales,0.5
05GAR,do not use,Sales,0.5
05JAS,do not use,Sales,0.5
05JUL,RL'S CUSTOMER - JU'S SALE,Sales,0.5
05MYR,HO'S CUSTOMER-EM'S SALE,Sales,0.5
05RA*,HO discount customer,Sales,0.5
05SS,ML,Sales,0.0
06,DA,Sales,0.0
06C,DA CONSIGNMENT,Sales,0.5
06CHE,DA CUSTOMER VP'S SAL,Sales,0.0
06EDN,DA's Customer - EM's sal,Sales,0.5
06JUL,DA CUSTOMER JU'S SALE,Sales,0.5
06RO*,DA discount customer,Sales,0.5
07,LA,Sales,0.0
07C,LA Consignments SalesAcc,Sales,0.5
07CHE,LA CUST-VP'S SALE,Sales,0.5
07EDN,LA CUST-EM SALE,Sales,0.5
07GR,07-GROUP-LA,Sales,0.5
07JUL,LA CUSTJU SALE,Sales,0.0
07RO*,LA Discount Customers,Sales,0.5
10,BA ALLISON,Sales,0.0
10C,BA CONSIGNMENT SALES ACC,Sales,0.0
99999,Unknown,Unknown,0.0
CAT03,CATALOGUE CUSTOMER ONLY - BJ,Sales,0.5
CAT04,CATALOGUE CUSTOMER ONLY - BM,Sales,0.5
CAT06,CATALOGUE CUSTOMER ONLY - RO,Sales,0.5
CAT07,CATALOGUE CUSTOMER-CH,Sales,0.5
CITC,C-  ITC,Sales,0.5
CLEGA,C LEGAL,Sales,0.5
CON10,CONSIGNMENT BA,Sales,0.5
CON2S,CONSIGNMENT DE/STAND,Gross Profit,0.5
CON3S,CONSIGNMENT BJ/STAND,Gross Profit,0.5
CON4S,CONSIGNMENT BM/STAND,Gross Profit,0.5
CON5S,CONSIGNMENT HO/STAND,Gross Profit,0.5
CON6S,CONSIGNMENT DA/STAND,Gross Profit,0.5
CON7S,Consignment LA / Stand,Sales,0.5
CONS,CONSIGNMENTS HEAD OFFICE,Gross Profit,0.5
CONS2,CONSIGNMENTS DE,Gross Profit,0.5
CONS3,CONSIGNMENTS BJ,Gross Profit,0.5
CONS4,CONSIGNMENTS BM,Gross Profit,0.5
CONS5,CONSIGNMENTS HO,Gross Profit,0.5
CONS6,CONSIGNMENTS DA,Gross Profit,0.5
CONS7,Consignments LA,Sales,0.5
DISC,discount specials,Gross Profit,0.5
PROMO,PROMOTION ONCE-OFF,Gross Profit,0.0
REP,REPAIR,Gross Profit,0.0
SALE,sales stock,Sales,0.0
SAMPL,SAMPLES,Gross Profit,0.0
STAN2,STANDS- 30 PC CONSIGNMENT,Gross Profit,0.0
STAN3,STANDS-CONSIGNMENT,Gross Profit,0.0
STAN4,STANDS-CONSIGNMENT,Gross Profit,0.0
STAND,STAND-60PC CONSIGNMENT,Gross Profit,0.0
STOCK,STOCK MOVEMENT / SHIPMENTS/,Gross Profit,0.0
XX,HOUSE CONSIGNMENTS,Gross Profit,0.0
XXC,SH,Gross Profit,0.0
ZZZ,PROBLEM - DECEASED ESTATES,Gross Profit,0.0
ZZZ1,PROBLEM - INSOLVENT ACCOUNT,Gross Profit,0.0
ZZZ2,BAD DEBT- H/OVER,Gross Profit,0.0
ZZZ3,BAD DEBTS-DUCHESS-HANDED OVER,Gross Profit,0.0
ZZZ4,BAD CREDIT,Sales,0.0
ZZZ5,CLOSED,Sales,0.0
ZZZ6,BLOCK AND MOVE - DO NOT USE,Gross Profit,0.0
ZZZP,PROBLEM-BAD DEBT-PAYING OFF,Gross Profit,0.0
