doc_number,transtype_code,rep_code,customer_number,trans_date,fin_period
DC700467,2,02JUL,ESP100,1553472000000000000,201901
DC700468,2,02,KDEL01,1553472000000000000,201901
DC700469,2,02RO*,NSUG03,1553472000000000000,201901
DC700470,4,CONS3,SMATC2,1553472000000000000,201901
DC700471,2,06CHE,RKAE01,1553472000000000000,201901
DC700472,2,06RO*,LMEL06,1553472000000000000,201901
DC700473,2,02,CDIH01,1553472000000000000,201901
DC700474,2,07JUL,SROE05,1553472000000000000,201901
DC700475,2,04CHE,AMAR01,1553472000000000000,201901
DC700476,2,02RO*,IBHK01,1553472000000000000,201901
DC700477,2,02,MSIT02,1553472000000000000,201901
DC700478,2,03MYR,RVOS02,1553472000000000000,201901
DC700479,4,CONS2,AFRNOC,1553472000000000000,201901
DC700480,2,04MA*,ESPC44,1553472000000000000,201901
DC700481,4,CONS,CNIH02,1553472000000000000,201901
DC700482,2,07,EEYW02,1553558400000000000,201901
DC700483,2,04JUL,CBUH02,1553558400000000000,201901
DC700484,2,06,ABHN02,1553472000000000000,201901
DC700485,2,07,RPAK02,1553558400000000000,201901
DC700486,2,03,DLEW02,1553558400000000000,201901
DC700487,4,CONS6,HSCLOC,1553558400000000000,201901
DC700488,2,06EDN,RKAE01,1553472000000000000,201901
DC700489,2,04,DRAU01,1553558400000000000,201901
DC700490,2,03,ANKM01,1553558400000000000,201901
DC700491,4,CONS3,NVAGC2,1553558400000000000,201901
DC700492,2,04,WHOE01,1553558400000000000,201901
DC700493,2,04MYR,EFRE01,1553644800000000000,201901
DC700494,2,06,DBUG03,1553644800000000000,201901
DC700495,2,02JUL,TOPI25,1553644800000000000,201901
DC700496,2,03,PMAU02,1553472000000000000,201901
DC700497,2,04,EPER01,1553644800000000000,201901
DC700498,2,02,ESPC30,1553644800000000000,201901
DC700499,4,CONS6,SVIIOC,1553644800000000000,201901
DC700500,2,06,SVII17,1553644800000000000,201901
DC700501,2,07,TOPI55,1553731200000000000,201901
DC700502,2,07JUL,RTOG01,1553731200000000000,201901
DC700503,4,CONS,CNIH02,1553731200000000000,201901
DC700504,2,02CHE,AKW01,1553731200000000000,201901
DC700505,2,05,RCON02,1553731200000000000,201901
DC700506,2,07,EEYB02,1553731200000000000,201901
DC700507,2,04,LMAE01,1553731200000000000,201901
DC700508,2,07EDN,OFLR01,1553731200000000000,201901
DC700509,2,02JUL,ZNAE01,1553731200000000000,201901
DC700510,2,07CHE,TBOJ01,1553731200000000000,201901
DC700511,2,02MYR,VRIO01,1553731200000000000,201901
DC700512,2,010,NSUG03,1553731200000000000,201901
DC700513,2,03C,IMER03,1553731200000000000,201901
DC700514,4,CONS3,IMERC1,1553731200000000000,201901
DC700515,4,CONS,AADPRO,1553731200000000000,201901
DC700516,2,STOCK,WNEG02,1553731200000000000,201901
DC700519,2,02,HMAO02,1554768000000000000,201902
DC700520,2,02MYR,LBUB02,1555027200000000000,201902
DC700521,2,04MA*,ESPC01,1555027200000000000,201902
DC700522,2,02JUL,CJAO01,1555027200000000000,201902
DC700523,2,02MYR,DMIR01,1555027200000000000,201902
DC700524,2,03CHE,ANKM01,1555027200000000000,201902
DC700525,2,04MA*,ESPC01,1555027200000000000,201902
DC700526,2,06JUL,ISAV01,1555027200000000000,201902
DC700527,2,06JUL,TOPI53,1555027200000000000,201902
DC700528,2,04,MGAS01,1555027200000000000,201902
DC700529,2,02JUL,DWAE04,1555027200000000000,201902
DC700530,2,04CHE,VGOE02,1555027200000000000,201902
DC700531,4,CONS,CNIH02,1555027200000000000,201902
DC700532,2,03,DBOE01,1555027200000000000,201902
DC700533,2,07,SHAS03,1555027200000000000,201902
DC700306,2,04CHE,IJON02,1548028800000000000,201811
DC700307,2,04,TBOH03,1548028800000000000,201811
DC700309,2,02,ISPL02,1548028800000000000,201811
DC700310,2,07CHE,OWOD02,1548028800000000000,201811
DC700311,2,04,DRAU01,1548028800000000000,201811
DC700312,2,06CHE,APLZ01,1548028800000000000,201811
DC700313,2,07CHE,AKHN03,1548028800000000000,201811
DC700314,2,010,NJIA01,1548028800000000000,201811
DC700315,2,02C,RMAE01,1548028800000000000,201811
DC700319,2,010,NJIA01,1548115200000000000,201811
DC700326,2,07C,NRAS01,1548720000000000000,201811
DC700327,2,03C,NRAS01,1548806400000000000,201811
DC700329,2,01,SCAH02,1548806400000000000,201811
DC700330,2,02,RKAE01,1548806400000000000,201811
DC700331,2,02JUL,NMAO01,1548806400000000000,201811
DC700333,2,01AME,SCAH05,1548806400000000000,201811
DC700334,2,04,KMOO02,1548806400000000000,201811
DC700335,2,04,AMAR02,1549411200000000000,201812
DC700337,2,04C,ESPC68,1549497600000000000,201812
DC700340,2,02RO*,NSUG03,1549929600000000000,201812
DC700341,2,03,ESPC68,1550016000000000000,201812
DC700342,2,03,LNIS01,1550016000000000000,201812
DC700343,2,04CHE,HKAM02,1550275200000000000,201812
DC700344,2,02,NSUS04,1550275200000000000,201812
DC700345,2,02,NSUS10,1550275200000000000,201812
DC700347,2,06,EEYS11,1550275200000000000,201812
DC700348,2,02CHE,OBHO01,1550275200000000000,201812
DC700349,2,03CHE,TRUH01,1550275200000000000,201812
DC700350,2,06RO*,LMEL06,1550275200000000000,201812
DC700351,2,06,HZAE01,1550275200000000000,201812
DC700352,2,03C,IMER03,1550275200000000000,201812
DC700353,2,02,UTSE01,1550275200000000000,201812
DC700354,2,07,EZEN01,1550275200000000000,201812
DC700356,2,06RO*,LMEL06,1550275200000000000,201812
DC700357,2,03CHE,EEYP02,1550275200000000000,201812
DC700358,2,02,NBEJ01,1550275200000000000,201812
DC700359,2,04CHE,ESPC01,1550275200000000000,201812
DC700360,2,07,SLEO01,1550275200000000000,201812
DC700361,2,02CHE,NSIG01,1550275200000000000,201812
DC700362,2,07RO*,LMEL26,1550275200000000000,201812
DC700363,2,02RO*,ESPC76,1550275200000000000,201812
DC700364,2,07JUL,ODOL01,1550275200000000000,201812
DC700365,2,04CHE,SWIE02,1550275200000000000,201812
DC700367,2,04MA*,RJOD01,1550275200000000000,201812
DC700369,2,03,DLEW02,1550275200000000000,201812
DC700370,2,04,MGAS01,1550275200000000000,201812
DC700376,2,06,EEYS11,1550275200000000000,201812
DC700378,2,02CHE,ESPC89,1550793600000000000,201812
DC700379,2,07,HMPA01,1550793600000000000,201812
DC700380,2,07,AMOG01,1550793600000000000,201812
DC700381,2,04CHE,NWYB01,1550793600000000000,201812
DC700382,2,06RO*,LMEL06,1550793600000000000,201812
DC700383,2,07,TLOT01,1550793600000000000,201812
DC700384,2,04MA*,ESPC20,1550793600000000000,201812
DC700385,2,05RA*,OAVN01,1550793600000000000,201812
DC700386,2,04,UJOB01,1550793600000000000,201812
DC700387,2,04,INDM01,1550793600000000000,201812
DC700389,2,04,MGAS01,1550793600000000000,201812
DC700390,2,07,AMOG01,1550793600000000000,201812
DC700391,2,03,NMEL01,1550793600000000000,201812
DC700392,2,06,TBOH03,1550793600000000000,201812
DC700394,2,04C,ESPC68,1551225600000000000,201812
DC700395,2,04C,ESPC68,1551225600000000000,201812
DC700396,2,07,TOPI46,1551225600000000000,201812
DC700398,2,02JUL,CJAO01,1551225600000000000,201812
DC700399,2,03C,EROT01,1551225600000000000,201812
DC700400,2,03C,EROT01,1551225600000000000,201812
DC700401,2,04,LMEL23,1551225600000000000,201812
DC700402,2,02,MASA01,1551225600000000000,201812
DC700403,2,02,ESPC30,1551225600000000000,201812
DC700404,2,04,DMEI11,1551225600000000000,201812
DC700405,2,02CHE,VGOE07,1551312000000000000,201812
